,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.94,3.72,0.095,0.0324
epoch_2,3.662,3.506,0.135,0.07196
epoch_3,3.432,3.281,0.1525,0.091
epoch_4,3.25,3.086,0.21,0.1549
epoch_5,3.018,2.84,0.3076,0.2507
epoch_6,2.748,2.654,0.305,0.2527
epoch_7,2.67,2.518,0.355,0.2944
epoch_8,2.432,2.426,0.3674,0.3196
epoch_9,2.277,2.217,0.41,0.3655
epoch_10,2.178,2.107,0.4075,0.365
epoch_11,2.057,2.07,0.47,0.4307
epoch_12,1.9,1.952,0.5225,0.4912
epoch_13,1.786,1.869,0.49,0.46
epoch_14,1.689,1.835,0.4824,0.4453
epoch_15,1.586,1.735,0.5425,0.528
epoch_16,1.486,1.671,0.5576,0.5396
epoch_17,1.429,1.637,0.5576,0.5356
epoch_18,1.346,1.591,0.57,0.5483
epoch_19,1.301,1.548,0.555,0.5376
epoch_20,1.213,1.541,0.555,0.531
epoch_21,1.141,1.507,0.57,0.549
epoch_22,1.085,1.494,0.5776,0.5605
epoch_23,1.009,1.442,0.58,0.5635
epoch_24,0.962,1.45,0.615,0.5967
epoch_25,0.939,1.451,0.6123,0.6006
epoch_26,0.7983,1.366,0.6226,0.608
epoch_27,0.748,1.376,0.6274,0.6123
epoch_28,0.728,1.347,0.62,0.6025
epoch_29,0.7183,1.321,0.635,0.6226
epoch_30,0.703,1.335,0.625,0.6113
